k_max,k_min,k_tau,form_alpha,form_win,margin_a,margin_b,log_loss,brier
40,12,10,2.0,14,0.15,2.6,0.6726590846648215,0.2400562500293842
36,12,15,3.0,14,0.18,1.8,0.6726677238893201,0.24010877623548157
36,12,10,3.0,6,0.15,2.6,0.6726685517186441,0.23998897487741636
40,16,15,3.0,10,0.22,2.2,0.6726702965456354,0.2401721145068143
36,12,10,2.5,14,0.18,2.2,0.6726714743055672,0.24005809458936483
40,12,10,2.0,14,0.18,1.8,0.6726778987828789,0.24006489961040706
32,12,10,3.0,10,0.22,2.6,0.6726810039048564,0.24003886532087734
40,16,10,2.5,14,0.18,2.6,0.6726882310697668,0.2401351126299612
40,12,15,2.5,10,0.15,2.6,0.6726954317884691,0.24009436867041106
40,12,15,2.5,14,0.15,2.2,0.6726978614054171,0.24013230645408276
40,16,10,2.5,14,0.22,1.8,0.6726997795187716,0.24014233821632042
36,16,10,3.0,14,0.22,2.6,0.6727009408227844,0.24014616784299986
36,12,15,2.5,10,0.22,2.2,0.6727013493456709,0.24008863720808787
36,12,20,3.0,10,0.22,2.6,0.672707564252362,0.24015422273398998
36,12,10,2.5,6,0.22,2.6,0.6727090771185762,0.24005020838457686
40,12,10,2.5,6,0.15,1.8,0.6727149647053813,0.23999660640856943
40,16,10,3.0,10,0.18,1.8,0.6727219430136788,0.2401183899321674
40,12,10,2.0,6,0.18,2.6,0.6727312287993685,0.24004816509640362
40,12,20,2.5,14,0.22,2.6,0.6727484479677828,0.24023416802915368
40,12,15,3.0,6,0.18,2.2,0.6727493071960193,0.24008029453780247
40,12,15,2.5,6,0.22,2.2,0.6727538271007185,0.24012000702328143
40,16,10,2.5,10,0.18,2.6,0.6727574643508494,0.24013287553370383
36,12,15,2.5,14,0.22,2.2,0.6727607383613201,0.24014581471401783
40,16,10,3.0,14,0.15,1.8,0.6727658100890335,0.24017270703403795
40,16,10,2.5,10,0.22,1.8,0.6727721621802686,0.2401399518173381
40,16,15,3.0,14,0.22,2.2,0.6727728859476796,0.24027087453580398
36,12,10,2.5,10,0.18,2.2,0.6727729391756422,0.24008047677530314
40,12,15,2.5,10,0.18,1.8,0.6727802988045312,0.2401326425333574
40,12,10,1.5,10,0.22,2.6,0.6727818251514234,0.2400834089152928
36,12,10,3.0,6,0.18,1.8,0.672784324623509,0.24003792509871355
36,12,15,3.0,14,0.15,2.2,0.6727873985219327,0.24015877202147823
40,16,10,3.0,6,0.22,2.2,0.6727949424972672,0.2401476501239785
40,12,10,2.0,10,0.15,2.6,0.672804857873344,0.24010078386556916
40,12,10,2.0,14,0.15,2.2,0.6728087533599212,0.24012425825319272
40,12,10,2.0,6,0.22,1.8,0.6728210478059374,0.2400900435668056
32,12,10,3.0,14,0.22,2.6,0.6728292280689362,0.24013080348992002
36,16,10,3.0,10,0.22,2.2,0.6728293109884462,0.24016721063186844
40,12,10,2.0,10,0.18,1.8,0.6728332268994406,0.24011273008099593
32,12,10,3.0,10,0.22,2.2,0.672837749980815,0.24010940606933434
40,16,15,2.5,10,0.22,2.6,0.6728398061812187,0.24023351319385144
36,12,10,2.5,14,0.15,2.6,0.6728406003826719,0.24013465999728925
36,12,15,3.0,6,0.22,2.6,0.6728437447409603,0.2401633728457563
36,12,10,3.0,6,0.15,2.2,0.6728465558425675,0.2400582679309984
36,12,10,2.5,14,0.18,1.8,0.6728504361317581,0.24013888636782613
40,12,20,3.0,10,0.18,2.6,0.6728588536409159,0.24024565138058296
36,12,15,3.0,10,0.15,2.6,0.6728588607974946,0.24015514829841747
40,12,20,3.0,14,0.18,2.6,0.6728591886136969,0.24030178199298927
36,16,10,3.0,14,0.22,2.2,0.6728680871126815,0.2402197671347979
40,16,10,2.0,10,0.22,2.6,0.6728702031362475,0.24017884335947484
36,12,20,3.0,14,0.22,2.6,0.6728761182047844,0.24027194658564302
40,16,10,2.5,14,0.18,2.2,0.6728776605095661,0.24021857523392665
