MatchID,Date,BeyA,BeyB,ScoreA,ScoreB,PreA,PreB,PostA,PostB,arena,elo_arena_updated,MatchType,SeasonID,Tier,Matchday,KBaseA,KBaseB,KEffA,KEffB,ExpA,ExpB,ActA,ActB
M0060,2025-11-12,SilverWolf,CerberusFlame,0,4,1034.37,1034.75,1017.65,1062.02,Xtreme,Xtreme,exhibition,,,,29.7713,30.4774,33.4633,54.586,0.4994,0.5006,0.0,1.0
M0061,2025-11-12,KnightMail,FoxBrush,2,4,1045.01,1096.09,1026.96,1108.92,Xtreme,Xtreme,exhibition,,,,30.4774,27.275,63.8015,45.3372,0.427,0.573,0.1441,0.8559
M0062,2025-11-12,TuskMammoth,ScorpioSpear,6,0,1043.28,1025.76,1070.83,1003.24,Xtreme,Xtreme,exhibition,,,,28.4608,29.7713,44.5171,36.3744,0.5252,0.4748,1.1441,-0.1441
M0063,2025-11-12,DranDagger,RhinoReaper,2,6,1042.13,1023.94,1015.05,1046.44,Xtreme,Xtreme,exhibition,,,,29.0997,29.7713,51.464,42.7689,0.5261,0.4739,0.0,1.0
M0064,2025-11-12,CerberusFlame,FoxBrush,1,4,1062.02,1108.92,1043.35,1123.99,Xtreme,Xtreme,exhibition,,,,29.7713,26.7251,54.4465,43.9549,0.4329,0.5671,0.0901,0.9099
M0065,2025-11-12,TuskMammoth,RhinoReaper,0,4,1070.83,1046.44,1045.7,1064.59,Xtreme,Xtreme,exhibition,,,,27.8531,29.0997,46.9779,33.9266,0.535,0.465,0.0,1.0
M0066,2025-11-12,FoxBrush,RhinoReaper,8,4,1123.99,1064.59,1141.97,1052.08,Xtreme,Xtreme,exhibition,,,,26.2021,28.4608,43.2896,30.1356,0.5846,0.4154,1.0,0.0
M0067,2025-12-02,FoxBrush,WhaleFlame,5,0,1141.97,987.74,1158.49,966.7,Xtreme,Xtreme,exhibition,,,,25.7045,31.2197,43.3021,55.1376,0.7084,0.2916,1.0901,-0.0901
M0068,2025-12-02,ImpactDrake,PerseusDark,5,0,1109.19,961.4,1123.51,944.37,Xtreme,Xtreme,exhibition,,,,26.7251,29.7713,36.7813,43.742,0.7007,0.2993,1.0901,-0.0901
M0069,2025-12-02,CerberusFlame,ScorpioSpear,4,2,1043.35,1003.24,1056.84,991.03,Xtreme,Xtreme,exhibition,,,,29.0997,29.0997,45.2054,40.9292,0.5575,0.4425,0.8559,0.1441
M0070,2025-12-02,CobaltDragoon,PhoenixRudder,4,1,1021.99,992.03,1038.32,979.15,Xtreme,Xtreme,exhibition,,,,28.4608,29.0997,44.4979,35.1035,0.543,0.457,0.9099,0.0901
M0071,2025-12-02,DranDagger,LeonCrest,4,0,1015.05,970.47,1032.89,948.18,Xtreme,Xtreme,exhibition,,,,28.4608,30.4774,40.9119,51.1001,0.5638,0.4362,1.0,0.0
M0072,2025-12-02,KnightMail,WizardArc,4,0,1026.96,969.99,1049.3,948.18,Xtreme,Xtreme,exhibition,,,,29.7713,30.4774,53.3419,52.0882,0.5813,0.4187,1.0,0.0
M0073,2025-12-02,RhinoReaper,TyrannoBeat,4,3,1052.08,972.73,1058.85,964.76,Xtreme,Xtreme,exhibition,,,,27.8531,29.7713,30.719,36.1395,0.6122,0.3878,0.8328,0.1672
M0074,2025-12-02,WeissTiger,HellsReaper,4,1,986.31,969.59,1003.64,949.46,Xtreme,Xtreme,exhibition,,,,29.7713,30.4774,44.9137,52.1718,0.524,0.476,0.9099,0.0901
M0075,2025-12-02,TuskMammoth,SharkEdge,4,3,1045.7,989.29,1055.11,975.78,Xtreme,Xtreme,exhibition,,,,27.275,29.7713,37.2912,53.5404,0.5805,0.4195,0.8328,0.1672
M0076,2025-12-02,UnicornSting,PhoenixWing,2,5,1004.83,987.54,988.57,1002.15,Xtreme,Xtreme,exhibition,,,,28.4608,29.0997,37.4159,33.5942,0.5249,0.4751,0.0901,0.9099
M0077,2025-12-02,ViperTail,PegasusBlast,5,0,989.34,986.68,1010.9,953.14,Xtreme,Xtreme,exhibition,,,,29.0997,31.2197,36.782,57.2069,0.5038,0.4962,1.0901,-0.0901
M0078,2025-12-02,DranSword,DranBrave,5,2,1013.45,970.0,1025.31,957.71,Xtreme,Xtreme,exhibition,,,,28.4608,29.7713,34.0907,35.3386,0.5622,0.4378,0.9099,0.0901
M0079,2025-12-02,SilverWolf,HellsHammer,5,1,1017.65,960.45,1033.28,938.18,Xtreme,Xtreme,exhibition,,,,29.0997,30.4774,37.3372,53.2335,0.5816,0.4184,1.0,0.0
M0080,2025-12-02,WizardRod,LeonClaw,1,4,1011.66,973.82,995.91,1000.38,Xtreme,Xtreme,exhibition,,,,28.4608,30.4774,33.9329,57.2209,0.5542,0.4458,0.0901,0.9099
