Rank,MatchID,Date,Winner,Loser,WinnerPreELO,LoserPreELO,ELODifference,Score
35,M0354,2026-02-26,GolemRock,TuskMammoth,1048.3,1123.6,75.3,4-0
36,M0154,2025-12-27,HellsReaper,HellsChain,917.3,992.6,75.24,4-0
37,M0353,2026-02-26,DranSword,FoxBrush,1008.9,1084.0,75.06,5-1
38,M0119,2025-12-27,WeissTiger,CerberusFlame,1000.0,1074.9,74.88,4-0
39,M0210,2026-01-04,CrimsonGaruda,CerberusFlame,988.7,1062.5,73.85,4-0
40,M0297,2026-02-11,SilverWolf,HellsChain,949.2,1023.0,73.76,5-2
41,M0170,2025-12-27,LeonCrest,ViperTail,981.7,1054.0,72.32,4-0
42,M0208,2026-01-04,TuskMammoth,ImpactDrake,1068.8,1138.4,69.58,5-3
43,M0183,2026-01-04,PerseusDark,SharkEdge,959.1,1028.3,69.26,4-0
44,M0376,2026-02-26,DranSword,TuskMammoth,1035.1,1104.1,69.03,5-0
45,M0138,2025-12-27,GolemRock,CerberusFlame,980.0,1046.5,66.49,5-0
46,M0289,2026-02-11,LeonCrest,GolemRock,1030.4,1095.7,65.27,5-0
47,M0051,2025-11-12,DranDagger,UnicornSting,971.5,1035.3,63.82,5-0
48,M0263,2026-01-30,KnightMail,PhoenixWing,970.7,1033.1,62.42,4-0
49,M0120,2025-12-27,CobaltDragoon,TuskMammoth,992.6,1052.2,59.64,4-0
50,M0396,2026-03-01,CrimsonGaruda,RhinoReaper,943.4,1002.5,59.06,5-2
51,M0040,2025-11-12,BlackShell,DranSword,980.0,1037.8,57.85,4-1
52,M0262,2026-01-30,HellsReaper,DranBrave,968.3,1025.0,56.66,4-3
53,M0175,2025-12-27,LeonCrest,TuskMammoth,1026.2,1082.0,55.75,8-2
54,M0179,2026-01-04,HellsChain,WeissTiger,965.5,1019.0,53.45,5-0
55,M0141,2025-12-27,LeonCrest,LeonClaw,948.2,1001.7,53.42,4-3
56,M0167,2025-12-27,HellsReaper,CobaltDragoon,963.4,1016.7,53.35,5-1
57,M0292,2026-02-11,PerseusDark,DranBrave,964.7,1017.8,53.1,4-0
58,M0357,2026-02-26,HellsReaper,WeissTiger,944.9,997.8,52.85,4-0
59,M0122,2025-12-27,DranSword,RhinoReaper,1041.1,1093.8,52.77,4-2
60,M0080,2025-12-02,LeonClaw,WizardRod,957.1,1008.4,51.34,4-1
61,M0318,2026-02-13,CobaltDrake,LeonCrest,965.7,1016.9,51.23,4-1
62,M0392,2026-03-01,UnicornSting,SharkEdge,963.2,1013.6,50.37,4-3
63,M0205,2026-01-04,CrimsonGaruda,SolEclipse,973.9,1023.1,49.22,4-3
64,M0136,2025-12-27,GolemRock,WhaleWave,959.7,1008.9,49.2,4-0
65,M0090,2025-12-02,LeonClaw,KnightMail,995.4,1044.1,48.67,4-2
66,M0211,2026-01-04,DranBrave,CerberusFlame,999.1,1046.0,46.95,5-1
67,M0308,2026-02-11,SolEclipse,SharkEdge,926.1,972.6,46.45,5-0
68,M0259,2026-01-30,SilverWolf,WhaleWave,950.2,994.4,44.19,4-3
69,M0201,2026-01-04,CrimsonGaruda,UnicornSting,948.6,991.6,43.04,4-0
70,M0338,2026-02-26,WizardRod,CrimsonGaruda,918.8,961.5,42.61,4-2
71,M0145,2025-12-27,DranBrave,SilverWolf,953.9,996.4,42.48,5-3
