match_id,round_number,winner,finish_type,points_awarded,notes
M0339,1,UnicornSting,pocket,2,
M0339,2,SilverWolf,burst,2,
M0339,3,UnicornSting,spin,1,
M0339,4,SilverWolf,extreme,3,
M0340,1,SharkScale,pocket,2,
M0340,2,SharkScale,pocket,2,
M0341,1,WyvernHover,burst,2,
M0341,2,DranDagger,burst,2,
M0341,3,WyvernHover,spin,1,
M0341,4,WyvernHover,pocket,2,
M0342,1,WeissTiger,burst,2,
M0342,2,DranBrave,burst,2,
M0342,3,WeissTiger,spin,1,
M0342,4,DranBrave,pocket,2,
M0343,1,HellsReaper,spin,1,
M0343,2,KnightMail,burst,2,
M0343,3,HellsReaper,pocket,2,
M0343,4,KnightMail,pocket,2,
M0344,1,PerseusDark,burst,2,
M0344,2,PerseusDark,spin,1,
M0344,3,SolEclipse,pocket,2,
M0344,4,PerseusDark,burst,2,
M0345,1,GolemRock,pocket,2,
M0345,2,FoxBrush,burst,2,
M0345,3,GolemRock,spin,1,
M0345,4,FoxBrush,burst,2,
M0346,1,ViperTail,burst,2,
M0346,2,ViperTail,spin,1,
M0346,3,ViperTail,pocket,2,
M0347,1,ImpactDrake,burst,2,
M0347,2,DranSword,pocket,2,
M0347,3,ImpactDrake,pocket,2,
M0348,1,LeonCrest,burst,2,
M0348,2,LeonCrest,burst,2,
M0349,1,ScorpioSpear,burst,2,
M0349,2,CerberusFlame,spin,1,
M0349,3,CerberusFlame,burst,2,
M0349,4,ScorpioSpear,burst,2,
M0350,1,ViperTail,pocket,2,
M0350,2,ViperTail,extreme,3,
M0351,1,LeonCrest,burst,2,
M0351,2,CerberusFlame,spin,1,
M0351,3,LeonCrest,pocket,2,
M0352,1,ImpactDrake,burst,2,
M0352,2,CobaltDragoon,pocket,2,
M0352,3,CobaltDragoon,spin,1,
M0352,4,CobaltDragoon,spin,1,
M0353,1,DranSword,burst,2,
M0353,2,FoxBrush,spin,1,
M0353,3,DranSword,extreme,3,
M0354,1,GolemRock,spin,1,
M0354,2,GolemRock,spin,1,
M0354,3,GolemRock,pocket,2,
M0355,1,WyvernHover,pocket,2,
M0355,2,WyvernHover,pocket,2,
M0356,1,KnightMail,burst,2,
M0356,2,KnightMail,spin,1,
M0356,3,KnightMail,spin,1,
M0357,1,HellsReaper,pocket,2,
M0357,2,HellsReaper,spin,1,
M0357,3,HellsReaper,spin,1,
M0358,1,DranBrave,pocket,2,
M0358,2,DranBrave,extreme,3,
M0359,1,SharkScale,burst,2,
M0359,2,DranDagger,pocket,2,
M0359,3,SharkScale,spin,1,
M0359,4,SharkScale,pocket,2,
M0360,1,LeonClaw,pocket,2,
M0360,2,SilverWolf,pocket,2,
M0360,3,LeonClaw,extreme,3,
M0361,1,WizardRod,spin,1,
M0361,2,UnicornSting,burst,2,
M0361,3,WizardRod,spin,1,
M0361,4,UnicornSting,pocket,2,
M0362,1,CrimsonGaruda,burst,2,
M0362,2,ValkyrieVolt,spin,1,
M0362,3,ValkyrieVolt,spin,1,
M0362,4,ValkyrieVolt,spin,1,
M0362,5,CrimsonGaruda,spin,1,
M0362,6,ValkyrieVolt,extreme,3,
M0363,1,SharkEdge,pocket,2,
M0363,2,SharkEdge,burst,2,
M0364,1,RhinoReaper,burst,2,
M0364,2,RhinoReaper,burst,2,
M0365,1,RhinoReaper,burst,2,
M0365,2,RhinoReaper,spin,1,
M0365,3,LeonClaw,spin,1,
M0365,4,RhinoReaper,burst,2,
M0366,1,HellsChain,extreme,3,
M0366,2,HellsChain,pocket,2,
M0367,1,SharkEdge,pocket,2,
M0367,2,CrimsonGaruda,spin,1,
M0367,3,CrimsonGaruda,spin,1,
M0367,4,SharkEdge,extreme,3,
M0368,1,UnicornSting,burst,2,
M0368,2,ValkyrieVolt,pocket,2,
M0368,3,ValkyrieVolt,pocket,2,
M0369,1,SilverWolf,spin,1,
M0369,2,SilverWolf,pocket,2,
M0369,3,SilverWolf,spin,1,
M0370,1,WyvernHover,pocket,2,
M0370,2,SharkScale,spin,1,
M0370,3,SharkScale,extreme,3,
