FixtureID,Date,BeyA,BeyB,MatchType,SeasonID,Tier,Matchday
S2_T1_GolemRock_ImpactDrake,,ImpactDrake,GolemRock,season,S2,1,6
S2_T1_LeonCrest_ScorpioSpear,,LeonCrest,ScorpioSpear,season,S2,1,6
S2_T1_TuskMammoth_ValkyrieVolt,,ValkyrieVolt,TuskMammoth,season,S2,1,6
S2_T4_HellsHammer_WolfHunt,,HellsHammer,WolfHunt,season,S2,4,7
S2_T4_HellsBrave_WizardArc,,WizardArc,HellsBrave,season,S2,4,7
S2_T4_CobaltDrake_SolEclipse,,CobaltDrake,SolEclipse,season,S2,4,7
S2_T4_DranDagger_PhoenixRudder,,PhoenixRudder,DranDagger,season,S2,4,7
S2_T3_HellsChain_SilverWolf,,HellsChain,SilverWolf,season,S2,3,7
S2_T3_LeonClaw_PhoenixWing,,PhoenixWing,LeonClaw,season,S2,3,7
S2_T3_HellsReaper_RhinoReaper,,RhinoReaper,HellsReaper,season,S2,3,7
S2_T3_PerseusDark_SharkEdge,,SharkEdge,PerseusDark,season,S2,3,7
S2_T2_DranBrave_WeissTiger,,DranBrave,WeissTiger,season,S2,2,7
S2_T2_KnightMail_WyvernHover,,WyvernHover,KnightMail,season,S2,2,7
S2_T2_CerberusFlame_DranSword,,CerberusFlame,DranSword,season,S2,2,7
S2_T2_CobaltDragoon_ViperTail,,ViperTail,CobaltDragoon,season,S2,2,7
S2_T1_FoxBrush_ValkyrieVolt,,FoxBrush,ValkyrieVolt,season,S2,1,7
S2_T1_ScorpioSpear_TuskMammoth,,ScorpioSpear,TuskMammoth,season,S2,1,7
S2_T1_GolemRock_SharkScale,,GolemRock,SharkScale,season,S2,1,7
S2_T1_ImpactDrake_LeonCrest,,LeonCrest,ImpactDrake,season,S2,1,7
