Event,MatchIndex,Played,PassiveChange,Date,Bey,ELO,Position,Spiele,Siege,Niederlagen,Winrate
12,1,0,1,2025-09-07,ViperTail,1014,6,1,1,0,1.0
13,1,0,1,2025-09-07,HellsReaper,986,19,1,0,1,0.0
13,1,0,1,2025-09-07,SharkEdge,976,25,1,0,1,0.0
13,1,0,1,2025-09-07,TyrannoBeat,1014,10,1,1,0,1.0
13,1,0,1,2025-09-07,TuskMammoth,1014,8,1,1,0,1.0
13,1,0,1,2025-09-07,SamuraiSaber,986,18,1,0,1,0.0
13,1,0,1,2025-09-07,WizardArc,986,17,1,0,1,0.0
13,1,0,1,2025-09-07,UnicornSting,1020,6,1,1,0,1.0
13,1,0,1,2025-09-07,HellsHammer,987,15,1,0,1,0.0
13,1,0,1,2025-09-07,DranDagger,1020,5,1,1,0,1.0
13,1,0,1,2025-09-07,DranBrave,1014,9,1,1,0,1.0
13,1,0,1,2025-09-07,HellsChain,986,20,1,0,1,0.0
13,1,0,1,2025-09-07,LeonCrest,987,14,1,0,1,0.0
13,1,0,1,2025-09-07,GolemRock,1020,4,1,1,0,1.0
13,1,0,1,2025-09-07,CrimsonGaruda,980,22,1,0,1,0.0
13,1,0,1,2025-09-07,ImpactDrake,1013,11,1,1,0,1.0
13,1,0,1,2025-09-07,DranBuster,976,24,1,0,1,0.0
13,1,1,0,2025-09-07,WhaleWave,976,26,1,0,1,0.0
13,1,0,1,2025-09-07,LeonClaw,980,23,1,0,1,0.0
13,1,1,0,2025-09-07,PerseusDark,1024,3,1,1,0,1.0
13,1,0,1,2025-09-07,DranSword,1013,12,1,1,0,1.0
13,1,0,1,2025-09-07,PhoenixWing,1013,13,1,1,0,1.0
13,1,0,1,2025-09-07,WizardArrow,987,16,1,0,1,0.0
13,1,0,1,2025-09-07,BlackShell,980,21,1,0,1,0.0
13,1,0,1,2025-09-07,ViperTail,1014,7,1,1,0,1.0
14,1,0,1,2025-09-07,HellsChain,986,22,1,0,1,0.0
14,1,0,1,2025-09-07,LeonCrest,987,15,1,0,1,0.0
14,1,0,1,2025-09-07,CrimsonGaruda,980,24,1,0,1,0.0
14,1,0,1,2025-09-07,WizardArc,986,19,1,0,1,0.0
14,1,0,1,2025-09-07,HellsReaper,986,21,1,0,1,0.0
14,1,1,0,2025-09-07,SilverWolf,987,18,1,0,1,0.0
14,1,1,0,2025-09-07,WizardRod,1013,14,1,1,0,1.0
14,1,0,1,2025-09-07,HellsHammer,987,16,1,0,1,0.0
14,1,0,1,2025-09-07,WizardArrow,987,17,1,0,1,0.0
14,1,0,1,2025-09-07,BlackShell,980,23,1,0,1,0.0
14,1,0,1,2025-09-07,DranBuster,976,26,1,0,1,0.0
14,1,0,1,2025-09-07,SharkEdge,976,27,1,0,1,0.0
14,1,0,1,2025-09-07,WhaleWave,976,28,1,0,1,0.0
14,1,0,1,2025-09-07,LeonClaw,980,25,1,0,1,0.0
14,1,0,1,2025-09-07,SamuraiSaber,986,20,1,0,1,0.0
15,1,1,0,2025-09-07,RhinoReaper,980,27,1,0,1,0.0
15,1,0,1,2025-09-07,HellsReaper,986,22,1,0,1,0.0
15,1,0,1,2025-09-07,SharkEdge,976,29,1,0,1,0.0
15,1,0,1,2025-09-07,TyrannoBeat,1014,11,1,1,0,1.0
15,1,0,1,2025-09-07,TuskMammoth,1014,9,1,1,0,1.0
15,1,0,1,2025-09-07,SamuraiSaber,986,21,1,0,1,0.0
15,1,1,0,2025-09-07,WeissTiger,1020,7,1,1,0,1.0
15,1,0,1,2025-09-07,WizardArc,986,20,1,0,1,0.0
15,1,0,1,2025-09-07,SilverWolf,987,19,1,0,1,0.0
15,1,0,1,2025-09-07,HellsHammer,987,17,1,0,1,0.0
15,1,0,1,2025-09-07,DranBrave,1014,10,1,1,0,1.0
15,1,0,1,2025-09-07,HellsChain,986,23,1,0,1,0.0
15,1,0,1,2025-09-07,LeonCrest,987,16,1,0,1,0.0
15,1,0,1,2025-09-07,CrimsonGaruda,980,25,1,0,1,0.0
15,1,0,1,2025-09-07,ImpactDrake,1013,12,1,1,0,1.0
