bey_name,matches_played,matches_won,matches_lost,match_win_rate,total_points_scored,total_points_conceded,points_differential,total_rounds_played,rounds_won,rounds_lost,round_differential,points_per_round,avg_rounds_per_match,avg_points_per_match,burst_wins,pocket_wins,extreme_wins,spin_wins,burst_losses,pocket_losses,extreme_losses,spin_losses,total_finishes,burst_win_rate,aggression_ratio,bursts_suffered,pocket_outs_suffered,extreme_finishes_suffered,defensive_stability_index,clutch_matches_won,clutch_win_rate,comeback_wins,reverse_sweeps,offensive_power_index,dominance_index,volatility_index
HellsHammer,6,3,3,50.0,14,17,-3,17,9,8,1,0.824,2.83,2.33,0,3,1,5,2,3,2,1,9,0.0,44.44,2,3,2,0.882,1,16.67,1,1,2.25,0.74,1.97
GolemRock,6,2,4,33.33,11,16,-5,18,9,9,0,0.611,3.0,1.83,1,1,0,7,5,2,0,2,9,11.11,22.22,5,2,0,0.722,0,0.0,0,0,2.0,0.08,1.83
CobaltDragoon,7,2,5,28.57,17,24,-7,26,11,15,-4,0.654,3.71,2.43,1,5,0,5,3,2,2,8,11,9.09,54.55,3,2,2,0.885,0,0.0,1,0,2.57,-0.02,1.51
CerberusFlame,6,3,3,50.0,13,18,-5,27,13,14,-1,0.481,4.5,2.17,0,0,0,13,2,2,0,10,13,0.0,0.0,2,2,0,0.926,1,16.67,1,1,2.17,-0.11,2.04
TyrannoBeat,6,2,4,33.33,12,20,-8,16,7,9,-2,0.75,2.67,2.0,1,2,1,3,1,3,3,1,7,14.29,57.14,1,3,3,0.938,0,0.0,0,0,2.08,-0.21,2.45
LeonCrest,6,2,4,33.33,10,18,-8,17,6,11,-5,0.588,2.83,1.67,0,4,0,2,0,5,1,5,6,0.0,66.67,0,5,1,1.0,0,0.0,0,0,1.67,-0.45,1.97
SharkScale,6,2,4,33.33,13,21,-8,24,9,15,-6,0.542,4.0,2.17,1,3,0,5,1,3,1,10,9,11.11,44.44,1,3,1,0.958,1,16.67,1,1,2.33,-0.52,2.04
PerseusDark,6,2,4,33.33,11,19,-8,23,7,16,-9,0.478,3.83,1.83,0,4,0,3,0,3,0,13,7,0.0,57.14,0,3,0,1.0,0,0.0,0,0,1.83,-0.62,1.83
ScorpioSpear,9,3,6,33.33,14,30,-16,26,10,16,-6,0.538,2.89,1.56,1,3,0,6,1,6,3,5,10,10.0,40.0,1,6,3,0.962,0,0.0,1,0,1.67,-0.97,2.13
PhoenixWing,6,1,5,16.67,10,21,-11,18,5,13,-8,0.556,3.0,1.67,2,3,0,0,0,4,1,6,5,40.0,100.0,0,4,1,1.0,0,0.0,0,0,2.0,-1.0,1.51
WyvernHover,5,1,4,20.0,8,19,-11,13,4,9,-5,0.615,2.6,1.6,0,2,1,1,2,6,1,0,4,0.0,75.0,2,6,1,0.846,0,0.0,0,0,1.5,-1.28,1.67
SharkEdge,6,1,5,16.67,6,22,-16,16,3,13,-10,0.375,2.67,1.0,0,1,1,1,1,4,2,6,3,0.0,66.67,1,4,2,0.938,0,0.0,0,0,0.92,-2.1,2.0
