matchday,position,bey,matches,wins,losses,season_points,points_for,points_against,point_diff,elo,position_delta,rw,rl,ppr,ppw
5,6,UnicornSting,5,2,3,7,11,15,-4,1000.0,-2,6,7,0.85,1.83
5,7,RhinoReaper,5,2,3,6,17,16,1,1000.0,-2,13,9,0.77,1.31
5,8,WizardRod,5,2,3,6,12,17,-5,1000.0,1,9,9,0.67,1.33
5,9,CrimsonGaruda,5,1,4,4,10,17,-7,1000.0,-1,5,11,0.62,2.0
5,10,WhaleWave,5,1,4,3,10,18,-8,1000.0,0,6,12,0.56,1.67
6,1,ValkyrieVolt,6,5,1,18,26,10,16,1000.0,0,13,8,1.24,2.0
6,2,LeonClaw,6,5,1,16,24,13,11,1000.0,0,13,6,1.26,1.85
6,3,SharkEdge,6,4,2,13,19,15,4,1000.0,2,9,9,1.06,2.11
6,4,HellsChain,6,3,3,11,14,16,-2,1000.0,-1,9,7,0.88,1.56
6,5,RhinoReaper,6,3,3,10,21,16,5,1000.0,2,15,9,0.88,1.4
6,6,UnicornSting,6,3,3,10,15,17,-2,1000.0,0,8,9,0.88,1.88
6,7,SilverWolf,6,3,3,9,18,21,-3,1000.0,-3,11,14,0.72,1.64
6,8,WizardRod,6,2,4,6,14,21,-7,1000.0,0,11,11,0.64,1.27
6,9,CrimsonGaruda,6,1,5,4,13,23,-10,1000.0,0,7,15,0.59,1.86
6,10,WhaleWave,6,1,5,3,10,22,-12,1000.0,0,6,14,0.5,1.67
7,1,ValkyrieVolt,7,6,1,21,30,12,18,1000.0,0,15,9,1.25,2.0
7,2,LeonClaw,7,5,2,16,25,18,7,1000.0,0,14,9,1.09,1.79
7,3,SharkEdge,7,5,2,16,24,17,7,1000.0,0,11,11,1.09,2.18
7,4,HellsChain,7,4,3,15,19,16,3,1000.0,0,11,7,1.06,1.73
7,5,RhinoReaper,7,4,3,13,26,17,9,1000.0,0,18,10,0.93,1.44
7,6,SilverWolf,7,4,3,13,22,21,1,1000.0,1,14,14,0.79,1.57
7,7,UnicornSting,7,3,4,10,17,21,-4,1000.0,-1,9,11,0.85,1.89
7,8,WizardRod,7,2,5,6,14,25,-11,1000.0,0,11,14,0.56,1.27
7,9,CrimsonGaruda,7,1,6,4,15,28,-13,1000.0,0,9,17,0.58,1.67
7,10,WhaleWave,7,1,6,3,10,27,-17,1000.0,0,6,16,0.45,1.67
8,1,ValkyrieVolt,8,6,2,21,30,16,14,1000.0,0,15,13,1.07,2.0
8,2,LeonClaw,8,6,2,20,30,18,12,1000.0,0,16,9,1.2,1.88
8,3,HellsChain,8,5,3,18,23,19,4,1000.0,1,14,9,1.0,1.64
8,4,SilverWolf,8,5,3,17,26,21,5,1000.0,2,18,14,0.81,1.44
8,5,SharkEdge,8,5,3,16,27,21,6,1000.0,-2,12,13,1.08,2.25
8,6,RhinoReaper,8,4,4,13,29,21,8,1000.0,-1,20,13,0.88,1.45
8,7,UnicornSting,8,4,4,13,21,24,-3,1000.0,0,11,12,0.91,1.91
8,8,CrimsonGaruda,8,2,6,8,19,28,-9,1000.0,1,11,17,0.68,1.73
8,9,WizardRod,8,2,6,6,14,30,-16,1000.0,-1,11,16,0.52,1.27
8,10,WhaleWave,8,1,7,3,10,31,-21,1000.0,0,6,18,0.42,1.67
9,1,ValkyrieVolt,9,7,2,25,34,16,18,1000.0,0,17,13,1.13,2.0
9,2,HellsChain,9,6,3,22,27,19,8,1000.0,1,16,9,1.08,1.69
9,3,LeonClaw,9,6,3,20,30,22,8,1000.0,-1,16,11,1.11,1.88
9,4,SilverWolf,9,6,3,20,30,23,7,1000.0,0,21,15,0.83,1.43
9,5,SharkEdge,9,5,4,16,29,25,4,1000.0,0,13,16,1.0,2.23
9,6,RhinoReaper,9,4,5,13,31,26,5,1000.0,0,21,15,0.86,1.48
9,7,UnicornSting,9,4,5,13,24,29,-5,1000.0,0,12,14,0.92,2.0
9,8,CrimsonGaruda,9,3,6,11,24,30,-6,1000.0,0,13,18,0.77,1.85
9,9,WhaleWave,9,2,7,6,15,34,-19,1000.0,1,8,19,0.56,1.88
9,10,WizardRod,9,2,7,6,14,34,-20,1000.0,-1,11,18,0.48,1.27
