Event,MatchIndex,Played,PassiveChange,Date,Bey,ELO,Position,Spiele,Siege,Niederlagen,Winrate
622,2,1,0,2026-05-10,WolfHunt,1029,5,2,2,0,1.0
622,1,0,1,2026-05-10,WhaleFlame,980,20,1,0,1,0.0
622,1,0,1,2026-05-10,DranBuster,977,23,1,0,1,0.0
622,1,0,1,2026-05-10,PegasusBlast,981,19,1,0,1,0.0
622,1,0,1,2026-05-10,GhostCircle,980,21,1,0,1,0.0
622,1,0,1,2026-05-10,CrimsonGaruda,976,24,1,0,1,0.0
622,1,0,1,2026-05-10,EmperorMight,980,22,1,0,1,0.0
622,4,0,1,2026-05-10,CobaltDrake,1020,7,4,3,1,0.75
622,4,0,1,2026-05-10,SamuraiCalibur,921,25,4,0,4,0.0
622,5,0,1,2026-05-10,SamuraiSteel,1017,9,5,3,2,0.6
622,1,1,0,2026-05-10,WizardArrow,985,17,1,0,1,0.0
623,5,0,1,2026-05-10,TriceraPress,1066,2,5,4,1,0.8
623,1,0,1,2026-05-10,ShelterDrake,983,17,1,0,1,0.0
623,2,0,1,2026-05-10,WhaleWave,991,11,2,1,1,0.5
623,1,0,1,2026-05-10,WhaleFlame,980,19,1,0,1,0.0
623,1,0,1,2026-05-10,DranBuster,977,22,1,0,1,0.0
623,1,0,1,2026-05-10,PegasusBlast,981,18,1,0,1,0.0
623,3,1,0,2026-05-10,DranDagger,1071,1,3,3,0,1.0
623,1,0,1,2026-05-10,SolEclipse,987,14,1,0,1,0.0
623,1,0,1,2026-05-10,UnicornSting,986,15,1,0,1,0.0
623,1,0,1,2026-05-10,PhoenixFlare,987,13,1,0,1,0.0
623,1,0,1,2026-05-10,WizardRod,988,12,1,0,1,0.0
623,1,0,1,2026-05-10,GhostCircle,980,20,1,0,1,0.0
623,1,0,1,2026-05-10,EmperorMight,980,21,1,0,1,0.0
623,1,0,1,2026-05-10,CrimsonGaruda,976,23,1,0,1,0.0
623,3,1,0,2026-05-10,TyrannoRoar,971,24,3,1,2,0.3333333333333333
623,1,0,1,2026-05-10,WizardArrow,985,16,1,0,1,0.0
624,3,1,0,2026-05-10,ClockMirage,1022,6,3,2,1,0.6666666666666666
624,2,1,0,2026-05-10,MeteorDragoon,1037,4,2,2,0,1.0
625,6,1,0,2026-05-10,TriceraPress,1087,1,6,5,1,0.8333333333333334
625,2,1,0,2026-05-10,SamuraiSaber,998,10,2,1,1,0.5
625,3,0,1,2026-05-10,DranDagger,1071,2,3,3,0,1.0
625,5,0,1,2026-05-10,SamuraiSteel,1017,8,5,3,2,0.6
625,2,0,1,2026-05-10,BlackShell,1000,9,2,1,1,0.5
626,2,0,1,2026-05-10,MeteorDragoon,1037,5,2,2,0,1.0
626,3,1,0,2026-05-10,WolfHunt,1052,3,3,3,0,1.0
626,2,0,1,2026-05-10,TyrannoBeat,1042,4,2,2,0,1.0
626,6,1,0,2026-05-10,SamuraiSteel,998,9,6,3,3,0.5
626,2,0,1,2026-05-10,BlackShell,1000,8,2,1,1,0.5
627,3,1,0,2026-05-10,MeteorDragoon,1024,5,3,2,1,0.6666666666666666
627,4,1,0,2026-05-10,DranDagger,1086,2,4,4,0,1.0
628,4,1,0,2026-05-10,WolfHunt,1038,4,4,3,1,0.75
628,7,1,0,2026-05-10,TriceraPress,1101,1,7,6,1,0.8571428571428571
628,2,0,1,2026-05-10,TyrannoBeat,1042,3,2,2,0,1.0
629,3,0,1,2026-05-10,ClockMirage,1022,5,3,2,1,0.6666666666666666
629,4,1,0,2026-05-10,MeteorDragoon,1010,7,4,2,2,0.5
629,5,1,0,2026-05-10,WolfHunt,1052,3,5,4,1,0.8
629,4,0,1,2026-05-10,CobaltDrake,1020,6,4,3,1,0.75
629,2,0,1,2026-05-10,TyrannoBeat,1042,4,2,2,0,1.0
630,8,1,0,2026-05-10,TriceraPress,1116,1,8,7,1,0.875
630,5,1,0,2026-05-10,DranDagger,1070,2,5,4,1,0.8
