Rank,MatchID,Date,Winner,Loser,WinnerPreELO,LoserPreELO,ELODifference,Score
247,M0045,2025-11-12,DranBuster,SamuraiSaber,975.9,986.2,10.32,4-0
248,M0026,2025-09-07,DranSword,UnicornSting,1028.0,1038.2,10.17,4-1
249,M0031,2025-09-07,ImpactDrake,FoxBrush,1075.7,1085.4,9.64,7-0
250,M0576,2026-05-02,RhinoReaper,HellsReaper,1002.5,1012.1,9.59,5-3
251,M0150,2025-12-27,CrimsonGaruda,TyrannoBeat,957.3,966.7,9.38,4-2
252,M0759,2026-08-07,DranDagger,PhoenixRudder,990.4,999.6,9.22,4-1
253,M0655,2026-05-22,EmperorMight,WhaleWave,1013.8,1023.0,9.15,4-0
254,M0277,2026-02-11,WeissTiger,PhoenixWing,1005.9,1015.0,9.11,4-0
255,M0409,2026-03-01,WeissTiger,KnightMail,1039.7,1048.8,9.08,4-2
256,M0166,2025-12-27,ViperTail,ScorpioSpear,1039.7,1048.7,9.0,5-0
257,M0035,2025-11-12,UnicornSting,WizardRod,1018.2,1027.1,8.91,5-2
258,M0490,2026-04-03,PerseusDark,HellsReaper,1004.9,1013.7,8.8,5-2
259,M0332,2026-02-13,CerberusFlame,ViperTail,992.5,1001.2,8.72,4-0
260,M0310,2026-02-11,CobaltDragoon,PhoenixWing,984.1,992.8,8.67,4-2
261,M0494,2026-04-03,DranSword,CobaltDragoon,1042.4,1050.8,8.48,4-2
262,M0235,2026-01-30,PhoenixWing,CobaltDrake,1015.9,1024.1,8.24,4-1
263,M0169,2025-12-27,TuskMammoth,WeissTiger,1056.1,1064.2,8.08,4-0
264,M0560,2026-05-02,PhoenixWing,SharkEdge,965.8,973.6,7.79,4-0
265,M0397,2026-03-01,HellsChain,LeonClaw,1014.7,1022.4,7.73,4-0
266,M0710,2026-06-07,LeonClaw,DranDagger,1000.2,1007.8,7.66,4-2
267,M0566,2026-05-02,SharkScale,FoxBrush,1091.9,1099.2,7.28,4-0
268,M0039,2025-11-12,KnightMail,PerseusDark,1000.0,1007.0,7.01,5-0
269,M0355,2026-02-26,WyvernHover,PerseusDark,1026.8,1033.8,6.99,4-0
270,M0018,2025-09-07,ImpactDrake,GolemRock,1013.1,1020.0,6.91,4-0
271,M0046,2025-11-12,RhinoReaper,WizardArrow,980.0,986.9,6.91,4-3
272,M0287,2026-02-11,ScorpioSpear,DranSword,1043.7,1050.6,6.87,5-0
273,M0024,2025-09-07,PhoenixRudder,WeissTiger,1013.8,1020.0,6.2,4-3
274,M0203,2026-01-04,GolemRock,TuskMammoth,1064.3,1070.1,5.83,4-0
275,M0257,2026-01-30,HellsChain,CrimsonGaruda,1000.6,1005.1,4.51,4-2
276,M0047,2025-11-12,SharkEdge,CrimsonGaruda,975.9,980.0,4.12,4-1
277,M0431,2026-03-20,ImpactDrake,ValkyrieVolt,1134.3,1138.4,4.07,5-2
278,M0468,2026-04-03,WizardArc,DranDagger,962.0,966.0,4.06,4-0
279,M0134,2025-12-27,DranBuster,PhoenixWing,991.3,995.3,4.05,6-0
280,M0275,2026-02-11,WizardRod,WhaleWave,981.0,984.7,3.65,4-2
281,M0160,2025-12-27,LeonCrest,WhaleWave,989.9,992.9,2.96,4-3
282,M0343,2026-02-26,KnightMail,HellsReaper,1006.6,1009.5,2.91,4-3
283,M0186,2026-01-04,CerberusFlame,RhinoReaper,1017.4,1020.2,2.86,4-0
284,M0569,2026-05-02,TuskMammoth,ValkyrieVolt,1124.0,1126.7,2.67,4-0
285,M0241,2026-01-30,TuskMammoth,WeissTiger,997.4,1000.0,2.65,5-0
286,M0096,2025-12-02,DranBuster,TyrannoBeat,969.2,971.8,2.64,4-0
287,M0145,2025-12-27,DranBrave,SilverWolf,989.0,991.7,2.63,5-3
288,M0081,2025-12-02,BlackShell,DranBuster,986.4,989.0,2.59,4-0
289,M0646,2026-05-22,ShelterDrake,MeteorDragoon,1017.2,1019.8,2.59,4-2
290,M0491,2026-04-03,CerberusFlame,KnightMail,1016.2,1018.5,2.39,4-2
291,M0042,2025-11-12,ViperTail,DranBrave,996.5,998.8,2.22,4-0
292,M0704,2026-06-07,DranBrave,LeonCrest,1070.1,1072.2,2.09,5-2
293,M0477,2026-04-03,ViperTail,DranSword,1046.8,1048.7,1.83,4-3
294,M0215,2026-01-04,CobaltDragoon,SharkScale,1040.4,1042.1,1.71,5-3
295,M0684,2026-06-07,RhinoReaper,HellsReaper,1009.8,1011.3,1.5,4-0
296,M0692,2026-06-07,ValkyrieVolt,SharkScale,1107.0,1108.5,1.5,4-2
297,M0556,2026-05-02,PhoenixRudder,WizardArc,993.4,994.8,1.38,5-1
298,M0128,2025-12-27,UnicornSting,CrimsonGaruda,976.2,977.0,0.74,4-0
299,M0019,2025-09-07,DranSword,DranBrave,1013.1,1013.8,0.71,5-3
300,M0712,2026-06-07,DranBuster,SharkEdge,972.9,973.6,0.69,5-1
301,M0621,2026-05-10,SamuraiSteel,EmperorMight,999.5,1000.0,0.46,4-0
302,M0237,2026-01-30,ValkyrieVolt,SamuraiSaber,1047.1,1047.5,0.43,5-0
303,M0267,2026-01-30,CobaltDragoon,DranSword,1050.1,1050.4,0.23,4-1
304,M0100,2025-12-02,PerseusDark,DranBrave,965.1,965.1,0.05,4-1
305,M0458,2026-03-20,CobaltDrake,PegasusBlast,959.7,959.7,0.05,5-3
