Event,MatchIndex,Played,PassiveChange,Date,Bey,ELO,Position,Spiele,Siege,Niederlagen,Winrate
13,1,0,1,2025-09-07,BlackShell,980,21,1,0,1,0.0
13,1,0,1,2025-09-07,ImpactDrake,1003,11,1,1,0,1.0
13,1,0,1,2025-09-07,HellsHammer,997,15,1,0,1,0.0
13,1,1,0,2025-09-07,PerseusDark,1020,6,1,1,0,1.0
13,1,0,1,2025-09-07,HellsChain,993,20,1,0,1,0.0
14,1,0,1,2025-09-07,WizardArrow,997,17,1,0,1,0.0
14,1,0,1,2025-09-07,LeonClaw,980,25,1,0,1,0.0
14,1,0,1,2025-09-07,SharkEdge,980,27,1,0,1,0.0
14,1,0,1,2025-09-07,WhaleWave,980,28,1,0,1,0.0
14,1,0,1,2025-09-07,HellsChain,993,22,1,0,1,0.0
14,1,0,1,2025-09-07,HellsReaper,993,21,1,0,1,0.0
14,1,0,1,2025-09-07,CrimsonGaruda,980,24,1,0,1,0.0
14,1,1,0,2025-09-07,WizardRod,1003,14,1,1,0,1.0
14,1,1,0,2025-09-07,SilverWolf,997,18,1,0,1,0.0
14,1,0,1,2025-09-07,BlackShell,980,23,1,0,1,0.0
14,1,0,1,2025-09-07,WizardArc,993,19,1,0,1,0.0
14,1,0,1,2025-09-07,DranBuster,980,26,1,0,1,0.0
14,1,0,1,2025-09-07,HellsHammer,997,16,1,0,1,0.0
14,1,0,1,2025-09-07,LeonCrest,997,15,1,0,1,0.0
14,1,0,1,2025-09-07,SamuraiSaber,993,20,1,0,1,0.0
15,1,0,1,2025-09-07,WizardArrow,997,18,1,0,1,0.0
15,1,0,1,2025-09-07,LeonClaw,980,26,1,0,1,0.0
15,1,0,1,2025-09-07,TyrannoBeat,1007,11,1,1,0,1.0
15,1,0,1,2025-09-07,HellsReaper,993,22,1,0,1,0.0
15,1,0,1,2025-09-07,CrimsonGaruda,980,25,1,0,1,0.0
15,1,0,1,2025-09-07,WhaleWave,980,29,1,0,1,0.0
15,1,0,1,2025-09-07,LeonCrest,997,16,1,0,1,0.0
15,1,0,1,2025-09-07,SamuraiSaber,993,21,1,0,1,0.0
15,1,1,0,2025-09-07,WeissTiger,1020,7,1,1,0,1.0
15,1,0,1,2025-09-07,SharkEdge,980,28,1,0,1,0.0
15,1,0,1,2025-09-07,WizardRod,1003,15,1,1,0,1.0
15,1,0,1,2025-09-07,DranBrave,1007,10,1,1,0,1.0
15,1,0,1,2025-09-07,SilverWolf,997,19,1,0,1,0.0
