Event,MatchIndex,Date,Bey,ELO,Position,Spiele,Siege,Niederlagen,Winrate
11,3,2025-11-12,CobaltDragoon,1016,7,3,2,1,0.6666666666666666
3,1,2025-11-12,CerberusFlame,1012,8,1,1,0,1.0
10,2,2025-11-12,SilverWolf,1010,9,2,1,1,0.5
13,2,2025-11-12,DranDagger,1008,10,2,1,1,0.5
11,3,2025-11-12,GolemRock,1006,11,3,2,1,0.6666666666666666
24,5,2025-11-12,DranSword,1002,12,5,3,2,0.6
16,1,2025-11-12,HellsHammer,997,15,1,0,1,0.0
11,1,2025-11-12,WizardArrow,997,16,1,0,1,0.0
18,3,2025-11-12,TuskMammoth,996,17,3,2,1,0.6666666666666666
18,2,2025-11-12,BlackShell,994,18,2,1,1,0.5
22,1,2025-11-12,SamuraiSaber,993,19,1,0,1,0.0
19,1,2025-11-12,HellsReaper,993,20,1,0,1,0.0
7,1,2025-11-12,ScorpioSpear,993,21,1,0,1,0.0
11,3,2025-11-12,PerseusDark,992,22,3,1,2,0.3333333333333333
16,4,2025-11-12,PhoenixRudder,991,23,4,2,2,0.5
20,2,2025-11-12,LeonCrest,991,24,2,0,2,0.0
22,2,2025-11-12,WizardArc,989,25,2,0,2,0.0
13,3,2025-11-12,TyrannoBeat,987,26,3,1,2,0.3333333333333333
19,4,2025-11-12,PhoenixWing,985,27,4,2,2,0.5
2,1,2025-11-12,PegasusBlast,982,28,1,0,1,0.0
16,3,2025-11-12,DranBrave,981,29,3,1,2,0.3333333333333333
8,2,2025-11-12,ScorpioSpear,1000,13,2,1,1,0.5
14,2,2025-11-12,HellsChain,1000,14,2,1,1,0.5
17,5,2025-11-12,WizardRod,999,15,5,3,2,0.6
17,1,2025-11-12,HellsHammer,997,16,1,0,1,0.0
12,1,2025-11-12,WizardArrow,997,17,1,0,1,0.0
19,3,2025-11-12,TuskMammoth,996,18,3,2,1,0.6666666666666666
19,2,2025-11-12,BlackShell,994,19,2,1,1,0.5
23,1,2025-11-12,SamuraiSaber,993,20,1,0,1,0.0
12,3,2025-11-12,PerseusDark,992,21,3,1,2,0.3333333333333333
17,4,2025-11-12,PhoenixRudder,991,22,4,2,2,0.5
21,2,2025-11-12,LeonCrest,991,23,2,0,2,0.0
23,2,2025-11-12,WizardArc,989,24,2,0,2,0.0
14,3,2025-11-12,TyrannoBeat,987,25,3,1,2,0.3333333333333333
20,2,2025-11-12,HellsReaper,987,26,2,0,2,0.0
1,1,2025-11-12,WhaleFlame,992,21,1,0,1,0.0
13,3,2025-11-12,PerseusDark,992,22,3,1,2,0.3333333333333333
18,4,2025-11-12,PhoenixRudder,991,23,4,2,2,0.5
22,2,2025-11-12,LeonCrest,991,24,2,0,2,0.0
24,2,2025-11-12,WizardArc,989,25,2,0,2,0.0
8,2,2025-11-12,WhaleWave,988,26,2,1,1,0.5
15,3,2025-11-12,TyrannoBeat,987,27,3,1,2,0.3333333333333333
21,2,2025-11-12,HellsReaper,987,28,2,0,2,0.0
20,4,2025-11-12,PhoenixWing,985,29,4,2,2,0.5
3,1,2025-11-12,PegasusBlast,982,30,1,0,1,0.0
17,3,2025-11-12,DranBrave,981,31,3,1,2,0.3333333333333333
14,1,2025-11-12,CrimsonGaruda,980,32,1,0,1,0.0
13,1,2025-11-12,LeonClaw,980,33,1,0,1,0.0
12,1,2025-11-12,DranBuster,980,34,1,0,1,0.0
9,1,2025-11-12,KeelShark,980,35,1,0,1,0.0
6,1,2025-11-12,RhinoReaper,980,36,1,0,1,0.0
13,2,2025-11-12,DranBuster,1001,13,2,1,1,0.5
9,2,2025-11-12,ScorpioSpear,1000,14,2,1,1,0.5
15,2,2025-11-12,HellsChain,1000,15,2,1,1,0.5
18,5,2025-11-12,WizardRod,999,16,5,3,2,0.6
18,1,2025-11-12,HellsHammer,997,17,1,0,1,0.0
13,1,2025-11-12,WizardArrow,997,18,1,0,1,0.0
20,3,2025-11-12,TuskMammoth,996,19,3,2,1,0.6666666666666666
20,2,2025-11-12,BlackShell,994,20,2,1,1,0.5
10,1,2025-11-12,KeelShark,980,34,1,0,1,0.0
7,1,2025-11-12,RhinoReaper,980,35,1,0,1,0.0
24,2,2025-11-12,SamuraiSaber,973,36,2,0,2,0.0
21,3,2025-11-12,TuskMammoth,996,18,3,2,1,0.6666666666666666
21,2,2025-11-12,BlackShell,994,19,2,1,1,0.5
14,2,2025-11-12,WizardArrow,993,20,2,0,2,0.0
8,2,2025-11-12,RhinoReaper,984,30,2,1,1,0.5
4,1,2025-11-12,PegasusBlast,982,31,1,0,1,0.0
18,3,2025-11-12,DranBrave,981,32,3,1,2,0.3333333333333333
15,1,2025-11-12,CrimsonGaruda,980,33,1,0,1,0.0
14,1,2025-11-12,LeonClaw,980,34,1,0,1,0.0
11,1,2025-11-12,KeelShark,980,35,1,0,1,0.0
12,2,2025-11-12,KeelShark,992,22,2,1,1,0.5
14,3,2025-11-12,PerseusDark,992,23,3,1,2,0.3333333333333333
19,4,2025-11-12,PhoenixRudder,991,24,4,2,2,0.5
23,2,2025-11-12,LeonCrest,991,25,2,0,2,0.0
25,2,2025-11-12,WizardArc,989,26,2,0,2,0.0
9,2,2025-11-12,WhaleWave,988,27,2,1,1,0.5
16,3,2025-11-12,TyrannoBeat,987,28,3,1,2,0.3333333333333333
22,2,2025-11-12,HellsReaper,987,29,2,0,2,0.0
21,4,2025-11-12,PhoenixWing,985,30,4,2,2,0.5
9,2,2025-11-12,RhinoReaper,984,31,2,1,1,0.5
5,1,2025-11-12,PegasusBlast,982,32,1,0,1,0.0
19,3,2025-11-12,DranBrave,981,33,3,1,2,0.3333333333333333
25,2,2025-11-12,SamuraiSaber,973,35,2,0,2,0.0
16,2,2025-11-12,CrimsonGaruda,968,36,2,0,2,0.0
12,4,2025-11-12,CobaltDragoon,1035,3,4,3,1,0.75
6,4,2025-11-12,UnicornSting,1027,4,4,3,1,0.75
2,1,2025-11-12,KnightMail,1021,5,1,1,0,1.0
14,3,2025-11-12,ViperTail,1018,6,3,2,1,0.6666666666666666
11,3,2025-11-12,WeissTiger,1017,7,3,1,2,0.3333333333333333
22,3,2025-11-12,TuskMammoth,996,17,3,2,1,0.6666666666666666
22,2,2025-11-12,BlackShell,994,18,2,1,1,0.5
15,2,2025-11-12,WizardArrow,993,19,2,0,2,0.0
2,1,2025-11-12,WhaleFlame,992,20,1,0,1,0.0
13,2,2025-11-12,KeelShark,992,21,2,1,1,0.5
15,3,2025-11-12,PerseusDark,992,22,3,1,2,0.3333333333333333
20,4,2025-11-12,PhoenixRudder,991,23,4,2,2,0.5
24,2,2025-11-12,LeonCrest,991,24,2,0,2,0.0
26,2,2025-11-12,WizardArc,989,25,2,0,2,0.0
10,2,2025-11-12,WhaleWave,988,26,2,1,1,0.5
17,3,2025-11-12,TyrannoBeat,987,27,3,1,2,0.3333333333333333
23,2,2025-11-12,HellsReaper,987,28,2,0,2,0.0
22,4,2025-11-12,PhoenixWing,985,29,4,2,2,0.5
10,2,2025-11-12,RhinoReaper,984,30,2,1,1,0.5
6,1,2025-11-12,PegasusBlast,982,31,1,0,1,0.0
20,3,2025-11-12,DranBrave,981,32,3,1,2,0.3333333333333333
15,2,2025-11-12,LeonClaw,978,33,2,0,2,0.0
19,2,2025-11-12,HellsHammer,978,34,2,0,2,0.0
23,4,2025-11-12,TuskMammoth,1001,13,4,3,1,0.75
14,2,2025-11-12,DranBuster,1001,14,2,1,1,0.5
10,2,2025-11-12,ScorpioSpear,1000,15,2,1,1,0.5
16,3,2025-11-12,HellsChain,995,17,3,1,2,0.3333333333333333
14,3,2025-11-12,DranDagger,1029,4,3,2,1,0.6666666666666666
12,3,2025-11-12,GolemRock,1006,10,3,2,1,0.6666666666666666
7,5,2025-11-12,UnicornSting,1005,11,5,3,2,0.6
4,2,2025-11-12,CerberusFlame,1024,5,2,2,0,1.0
3,1,2025-11-12,KnightMail,1021,6,1,1,0,1.0
15,3,2025-11-12,ViperTail,1018,7,3,2,1,0.6666666666666666
12,3,2025-11-12,WeissTiger,1017,8,3,1,2,0.3333333333333333
8,5,2025-11-12,UnicornSting,1005,10,5,3,2,0.6
25,5,2025-11-12,DranSword,1002,11,5,3,2,0.6
24,4,2025-11-12,TuskMammoth,1001,12,4,3,1,0.75
15,2,2025-11-12,DranBuster,1001,13,2,1,1,0.5
11,2,2025-11-12,ScorpioSpear,1000,14,2,1,1,0.5
19,5,2025-11-12,WizardRod,999,15,5,3,2,0.6
17,3,2025-11-12,HellsChain,995,16,3,1,2,0.3333333333333333
23,2,2025-11-12,BlackShell,994,17,2,1,1,0.5
13,4,2025-11-12,GolemRock,994,18,4,2,2,0.5
14,4,2025-11-12,GolemRock,994,17,4,2,2,0.5
16,2,2025-11-12,WizardArrow,993,18,2,0,2,0.0
3,1,2025-11-12,WhaleFlame,992,19,1,0,1,0.0
14,2,2025-11-12,KeelShark,992,20,2,1,1,0.5
16,3,2025-11-12,PerseusDark,992,21,3,1,2,0.3333333333333333
21,4,2025-11-12,PhoenixRudder,991,22,4,2,2,0.5
25,2,2025-11-12,LeonCrest,991,23,2,0,2,0.0
27,2,2025-11-12,WizardArc,989,24,2,0,2,0.0
11,2,2025-11-12,WhaleWave,988,25,2,1,1,0.5
18,3,2025-11-12,TyrannoBeat,987,26,3,1,2,0.3333333333333333
24,2,2025-11-12,HellsReaper,987,27,2,0,2,0.0
23,4,2025-11-12,PhoenixWing,985,28,4,2,2,0.5
11,2,2025-11-12,RhinoReaper,984,29,2,1,1,0.5
7,1,2025-11-12,PegasusBlast,982,30,1,0,1,0.0
21,3,2025-11-12,DranBrave,981,31,3,1,2,0.3333333333333333
16,2,2025-11-12,LeonClaw,978,32,2,0,2,0.0
20,2,2025-11-12,HellsHammer,978,33,2,0,2,0.0
24,3,2025-11-12,BlackShell,978,34,3,1,2,0.3333333333333333
12,3,2025-11-12,ScorpioSpear,1011,9,3,2,1,0.6666666666666666
11,2,2025-11-12,SilverWolf,1010,10,2,1,1,0.5
9,5,2025-11-12,UnicornSting,1005,11,5,3,2,0.6
26,5,2025-11-12,DranSword,1002,12,5,3,2,0.6
25,4,2025-11-12,TuskMammoth,1001,13,4,3,1,0.75
16,2,2025-11-12,DranBuster,1001,14,2,1,1,0.5
19,3,2025-11-12,TyrannoBeat,987,25,3,1,2,0.3333333333333333
25,2,2025-11-12,HellsReaper,987,26,2,0,2,0.0
24,4,2025-11-12,PhoenixWing,985,27,4,2,2,0.5
12,2,2025-11-12,RhinoReaper,984,28,2,1,1,0.5
8,1,2025-11-12,PegasusBlast,982,29,1,0,1,0.0
22,3,2025-11-12,DranBrave,981,30,3,1,2,0.3333333333333333
17,2,2025-11-12,LeonClaw,978,31,2,0,2,0.0
21,2,2025-11-12,HellsHammer,978,32,2,0,2,0.0
25,3,2025-11-12,BlackShell,978,33,3,1,2,0.3333333333333333
12,3,2025-11-12,WhaleWave,977,34,3,1,2,0.3333333333333333
17,3,2025-11-12,PerseusDark,992,20,3,1,2,0.3333333333333333
22,4,2025-11-12,PhoenixRudder,991,21,4,2,2,0.5
13,3,2025-11-12,RhinoReaper,991,22,3,2,1,0.6666666666666666
15,3,2025-11-12,KeelShark,985,28,3,1,2,0.3333333333333333
10,7,2025-11-12,FoxBrush,1064,1,7,6,1,0.8571428571428571
20,8,2025-11-12,ImpactDrake,1064,2,8,7,1,0.875
12,3,2025-11-12,SilverWolf,1020,7,3,2,1,0.6666666666666666
16,3,2025-11-12,ViperTail,1018,8,3,2,1,0.6666666666666666
13,3,2025-11-12,WeissTiger,1017,9,3,1,2,0.3333333333333333
13,3,2025-11-12,ScorpioSpear,1011,10,3,2,1,0.6666666666666666
4,2,2025-11-12,KnightMail,1027,5,2,2,0,1.0
5,2,2025-11-12,CerberusFlame,1024,6,2,2,0,1.0
14,3,2025-11-12,WeissTiger,1017,8,3,1,2,0.3333333333333333
26,5,2025-11-12,TuskMammoth,1015,9,5,4,1,0.8
17,4,2025-11-12,ViperTail,1004,12,4,2,2,0.5
27,5,2025-11-12,DranSword,1002,13,5,3,2,0.6
15,4,2025-11-12,DranDagger,1034,3,4,3,1,0.75
13,5,2025-11-12,CobaltDragoon,1029,4,5,3,2,0.6
20,5,2025-11-12,WizardRod,999,14,5,3,2,0.6
17,3,2025-11-12,DranBuster,996,15,3,1,2,0.3333333333333333
6,3,2025-11-12,CerberusFlame,1043,3,3,3,0,1.0
16,4,2025-11-12,DranDagger,1034,4,4,3,1,0.75
14,5,2025-11-12,CobaltDragoon,1029,5,5,3,2,0.6
5,2,2025-11-12,KnightMail,1027,6,2,2,0,1.0
15,3,2025-11-12,WeissTiger,1017,7,3,1,2,0.3333333333333333
27,5,2025-11-12,TuskMammoth,1015,8,5,4,1,0.8
14,3,2025-11-12,ScorpioSpear,1011,9,3,2,1,0.6666666666666666
10,5,2025-11-12,UnicornSting,1005,10,5,3,2,0.6
18,4,2025-11-12,ViperTail,1004,11,4,2,2,0.5
28,5,2025-11-12,DranSword,1002,12,5,3,2,0.6
13,4,2025-11-12,SilverWolf,1000,13,4,2,2,0.5
28,6,2025-11-12,TuskMammoth,1035,4,6,5,1,0.8333333333333334
17,4,2025-11-12,DranDagger,1034,5,4,3,1,0.75
15,5,2025-11-12,CobaltDragoon,1029,6,5,3,2,0.6
6,3,2025-11-12,KnightMail,1022,7,3,2,1,0.6666666666666666
16,3,2025-11-12,WeissTiger,1017,8,3,1,2,0.3333333333333333
11,5,2025-11-12,UnicornSting,1005,9,5,3,2,0.6
19,4,2025-11-12,ViperTail,1004,10,4,2,2,0.5
29,5,2025-11-12,DranSword,1002,11,5,3,2,0.6
14,4,2025-11-12,SilverWolf,1000,12,4,2,2,0.5
21,5,2025-11-12,WizardRod,999,13,5,3,2,0.6
18,3,2025-11-12,DranBuster,996,14,3,1,2,0.3333333333333333
18,3,2025-11-12,HellsChain,995,15,3,1,2,0.3333333333333333
15,4,2025-11-12,GolemRock,994,16,4,2,2,0.5
17,2,2025-11-12,WizardArrow,993,17,2,0,2,0.0
4,1,2025-11-12,WhaleFlame,992,18,1,0,1,0.0
18,3,2025-11-12,PerseusDark,992,19,3,1,2,0.3333333333333333
15,4,2025-11-12,ScorpioSpear,992,20,4,2,2,0.5
16,5,2025-11-12,CobaltDragoon,1029,5,5,3,2,0.6
7,3,2025-11-12,KnightMail,1022,6,3,2,1,0.6666666666666666
18,5,2025-11-12,DranDagger,1022,7,5,3,2,0.6
14,4,2025-11-12,RhinoReaper,1003,11,4,3,1,0.75
30,5,2025-11-12,DranSword,1002,12,5,3,2,0.6
15,4,2025-11-12,SilverWolf,1000,13,4,2,2,0.5
22,5,2025-11-12,WizardRod,999,14,5,3,2,0.6
19,3,2025-11-12,DranBuster,996,15,3,1,2,0.3333333333333333
19,3,2025-11-12,HellsChain,995,16,3,1,2,0.3333333333333333
16,4,2025-11-12,GolemRock,994,17,4,2,2,0.5
18,2,2025-11-12,WizardArrow,993,18,2,0,2,0.0
5,1,2025-11-12,WhaleFlame,992,19,1,0,1,0.0
19,3,2025-11-12,PerseusDark,992,20,3,1,2,0.3333333333333333
16,4,2025-11-12,ScorpioSpear,992,21,4,2,2,0.5
23,4,2025-11-12,PhoenixRudder,991,22,4,2,2,0.5
29,6,2025-11-12,TuskMammoth,1035,3,6,5,1,0.8333333333333334
7,4,2025-11-12,CerberusFlame,1033,4,4,3,1,0.75
8,4,2025-11-12,CerberusFlame,1033,3,4,3,1,0.75
17,5,2025-11-12,CobaltDragoon,1029,4,5,3,2,0.6
15,5,2025-11-12,RhinoReaper,1025,5,5,4,1,0.8
30,7,2025-11-12,TuskMammoth,1022,7,7,5,2,0.7142857142857143
19,5,2025-11-12,DranDagger,1022,8,5,3,2,0.6
17,3,2025-11-12,WeissTiger,1017,9,3,1,2,0.3333333333333333
12,5,2025-11-12,UnicornSting,1005,10,5,3,2,0.6
20,4,2025-11-12,ViperTail,1004,11,4,2,2,0.5
8,3,2025-11-12,KnightMail,1022,5,3,2,1,0.6666666666666666
31,7,2025-11-12,TuskMammoth,1022,6,7,5,2,0.7142857142857143
20,5,2025-11-12,DranDagger,1022,7,5,3,2,0.6
16,6,2025-11-12,RhinoReaper,1021,8,6,4,2,0.6666666666666666
