Date,BeyA,BeyB,ScoreA,ScoreB,PreA,PreB,PostA,PostB
2025-09-07,ImpactDrake,FoxBrush,7,0,1048.76,1057.11,1069.24,1036.63
2025-11-12,WeissTiger,ImpactDrake,3,4,1016.38,1069.24,1016.54,1069.07
2025-11-12,CobaltDragoon,WizardArc,5,3,1012.35,993.33,1016.25,989.43
2025-11-12,HellsChain,PhoenixWing,6,3,993.33,991.5,999.89,984.94
2025-11-12,UnicornSting,WizardRod,5,2,1018.63,1006.87,1026.52,998.97
2025-11-12,PhoenixRudder,SilverWolf,1,4,1003.64,997.14,991.26,1009.52
2025-11-12,LeonCrest,GolemRock,2,4,997.14,999.01,990.58,1005.57
2025-11-12,CerberusFlame,TyrannoBeat,4,1,1000,998.86,1011.93,986.93
2025-11-12,PerseusDark,KnightMail,0,5,1012.35,1000,991.64,1020.71
2025-11-12,DranSword,BlackShell,1,4,1016.04,980.0,1001.98,994.07
2025-11-12,FoxBrush,PegasusBlast,4,0,1036.63,1000,1054.53,982.1
2025-11-12,DranBrave,ViperTail,0,4,1001.45,998.1,981.25,1018.29
2025-11-12,HellsReaper,ScorpioSpear,2,4,993.33,993.33,986.67,1000.0
2025-11-12,WhaleWave,WhaleFlame,4,2,980.0,1000,987.82,992.18
2025-11-12,DranBuster,SamuraiSaber,4,0,980.0,993.33,1000.77,972.57
2025-11-12,WizardArrow,RhinoReaper,3,4,997.14,980.0,993.3,983.84
2025-11-12,KeelShark,CrimsonGaruda,4,1,980.0,980.0,992.0,968.0
2025-11-12,LeonClaw,ImpactDrake,2,4,980.0,1069.07,978.35,1070.06
2025-11-12,HellsHammer,CobaltDragoon,0,5,997.14,1016.25,978.24,1035.15
2025-11-12,TuskMammoth,HellsChain,5,3,995.73,999.89,1000.97,994.66
2025-11-12,DranDagger,UnicornSting,5,0,1008.0,1026.52,1029.07,1005.45
2025-11-12,GolemRock,CerberusFlame,1,4,1005.57,1011.93,993.94,1023.57
2025-11-12,BlackShell,FoxBrush,0,4,994.07,1054.53,977.51,1064.46
2025-11-12,ScorpioSpear,WhaleWave,4,1,1000.0,987.82,1011.3,976.52
2025-11-12,RhinoReaper,KeelShark,4,2,983.84,992.0,990.98,984.86
2025-11-12,ImpactDrake,SilverWolf,2,4,1070.06,1009.52,1063.99,1019.63
2025-11-12,CobaltDragoon,KnightMail,3,5,1035.15,1020.71,1029.32,1026.54
2025-11-12,TuskMammoth,ViperTail,5,1,1000.97,1018.29,1015.3,1003.96
2025-11-12,DranDagger,DranBuster,4,2,1029.07,1000.77,1034.11,995.73
2025-11-12,SilverWolf,CerberusFlame,0,4,1019.63,1023.57,999.86,1043.34
2025-11-12,KnightMail,FoxBrush,2,4,1026.54,1064.46,1022.05,1067.15
2025-11-12,TuskMammoth,ScorpioSpear,6,0,1015.3,1011.3,1035.07,991.53
2025-11-12,DranDagger,RhinoReaper,2,6,1034.11,990.98,1021.64,1003.45
2025-11-12,CerberusFlame,FoxBrush,1,4,1043.34,1067.15,1032.71,1073.53
2025-11-12,TuskMammoth,RhinoReaper,0,4,1035.07,1003.45,1021.98,1025.26
2025-11-12,FoxBrush,RhinoReaper,8,4,1073.53,1025.26,1075.88,1021.36
