matchday,position,bey,matches,wins,losses,season_points,points_for,points_against,point_diff,elo,position_delta
8,9,DranDagger,8,1,7,3,19,36,-17,1000.0,-1
8,10,SolEclipse,8,1,7,3,11,32,-21,1000.0,-1
9,1,SharkScale,9,8,1,27,40,13,27,1000.0,0
9,2,KnightMail,9,6,3,22,30,17,13,1000.0,0
9,3,WeissTiger,9,6,3,21,30,19,11,1000.0,0
9,4,DranBrave,9,6,3,20,28,21,7,1000.0,1
9,5,WyvernHover,9,5,4,17,26,21,5,1000.0,-1
9,6,PerseusDark,9,5,4,17,24,24,0,1000.0,1
9,7,HellsReaper,9,4,5,14,24,26,-2,1000.0,-1
9,8,DranDagger,9,2,7,6,23,39,-16,1000.0,1
9,9,PhoenixWing,9,2,7,6,11,34,-23,1000.0,-1
9,10,SolEclipse,9,1,8,3,14,36,-22,1000.0,0
