k_max,k_min,k_tau,form_alpha,form_win,margin_a,margin_b,log_loss,brier
40,12,20,3.0,10,0.22,2.6,0.666518401058973,0.23715108424625078
40,12,10,3.0,10,0.18,2.6,0.6665558514831846,0.23710048361094985
40,12,15,3.0,10,0.15,2.6,0.6665598633151663,0.23710772112861359
40,12,25,3.0,14,0.18,2.2,0.6665712322137446,0.2371866680567222
40,12,20,2.5,14,0.22,2.2,0.6665778170704058,0.23716076294047597
40,12,10,3.0,10,0.22,1.8,0.6665790192801488,0.23711104575311256
40,16,20,3.0,14,0.22,2.6,0.6665795896565875,0.23723021757058008
36,12,15,3.0,14,0.18,2.6,0.6665840623593821,0.23711599263021008
40,12,20,2.5,14,0.18,2.6,0.6665893414522426,0.23715334707375957
36,12,15,3.0,14,0.15,2.6,0.6665995266994638,0.23711257389710816
40,12,25,3.0,14,0.22,1.8,0.6666084614850303,0.2372185697569938
36,12,15,3.0,14,0.18,2.2,0.6666108054747533,0.23712415291934544
40,12,25,3.0,14,0.15,2.6,0.6666110877361263,0.23719020504844687
36,12,15,3.0,14,0.15,2.2,0.6666526051120464,0.23713267147749909
40,12,15,3.0,10,0.18,1.8,0.6666594877265615,0.23715263769370748
36,12,15,3.0,14,0.22,2.6,0.6666616477594159,0.23716437996480466
40,12,10,2.5,14,0.18,2.6,0.6666663259282258,0.2371398830712588
36,12,15,3.0,14,0.18,1.8,0.666666700139067,0.2371440159058556
40,12,10,3.0,10,0.18,2.2,0.6666680754273819,0.23715046285702482
36,12,15,3.0,14,0.22,2.2,0.6666705679787709,0.2371646972957986
36,12,15,3.0,14,0.22,1.8,0.6666717859036597,0.23715937769156123
40,12,10,2.5,14,0.22,2.6,0.6666748350753521,0.23714667043401413
40,16,20,3.0,14,0.18,2.6,0.6666876304875897,0.23725100013231668
40,12,10,2.5,14,0.22,2.2,0.6666886387346106,0.23715272768961826
40,12,20,3.0,10,0.22,2.2,0.6666902428768307,0.2372200131944311
40,16,20,3.0,14,0.22,2.2,0.6666947836645334,0.2372733828946137
40,12,20,2.5,14,0.18,2.2,0.6667013599501533,0.2371982141256721
40,12,10,2.5,14,0.18,2.2,0.6667016309497098,0.2371554332952794
40,12,20,2.5,14,0.22,1.8,0.6667067862903183,0.2372108859803367
40,12,10,2.5,14,0.22,1.8,0.6667216892754586,0.23716745454876215
40,12,10,2.5,14,0.15,2.6,0.6667279808945545,0.23716592524325514
40,12,15,3.0,10,0.15,2.2,0.6667290007704768,0.23717933809335565
36,12,15,3.0,14,0.15,1.8,0.6667309092351007,0.23716277824328147
40,12,25,3.0,14,0.18,1.8,0.6667310642276607,0.2372450876846406
40,12,25,3.0,14,0.15,2.2,0.6667398464661523,0.2372384884080981
40,12,15,2.5,10,0.22,2.6,0.6667468422529436,0.2371998560052488
40,12,20,2.5,14,0.15,2.6,0.6667505002486429,0.23721082645276223
40,12,10,2.5,14,0.18,1.8,0.6667725425245136,0.23718712067969844
40,12,10,2.5,14,0.15,2.2,0.6667848682804393,0.23719113239425993
40,16,15,2.5,14,0.22,2.6,0.6667985167109637,0.2372669889949792
40,12,10,3.0,10,0.15,2.6,0.6668002056932125,0.23721050862093643
40,20,10,3.0,14,0.22,2.6,0.6668086659013327,0.2373018386153427
40,16,20,3.0,14,0.18,2.2,0.6668092115943298,0.23729623208213635
40,12,20,3.0,10,0.18,2.6,0.6668382365142057,0.23727321807010282
40,16,20,3.0,14,0.22,1.8,0.6668429569500072,0.23732652907948767
40,16,15,3.0,10,0.22,2.6,0.6668473571110506,0.2373010311634621
40,16,20,3.0,14,0.15,2.6,0.6668537216558511,0.23730189201764862
40,12,10,3.0,10,0.18,1.8,0.666854142828371,0.23723460035529217
40,12,20,2.5,14,0.18,1.8,0.6668552295058027,0.23725927856508125
40,20,10,3.0,14,0.18,2.6,0.6668598604881962,0.23730392327163624
40,12,20,2.5,14,0.15,2.2,0.6668733232513796,0.23726027914342018
40,12,10,2.5,14,0.15,1.8,0.6668735744648704,0.23723070370467653
40,16,10,3.0,10,0.22,2.6,0.6668825638503405,0.2372853967662581
36,12,20,3.0,14,0.18,2.6,0.6668834939830947,0.23727669002210502
40,20,10,3.0,14,0.22,2.2,0.6668894781150744,0.237331823105909
36,12,20,3.0,14,0.22,2.6,0.6668979128177167,0.23730216883768612
40,12,15,2.5,10,0.22,2.2,0.6669044727499712,0.23726799000566404
40,16,15,2.5,14,0.22,2.2,0.6669097880444024,0.23731223498700732
40,12,25,3.0,14,0.15,1.8,0.6669206951351129,0.23730658380663627
40,16,15,2.5,14,0.18,2.6,0.6669275973480989,0.2373081502128075
40,12,10,3.0,10,0.15,2.2,0.6669302344588585,0.23726849865074878
36,12,20,3.0,14,0.22,2.2,0.6669433365519439,0.2373168992569066
40,20,10,3.0,14,0.18,2.2,0.6669457605417342,0.23733545376969142
36,12,20,3.0,14,0.18,2.2,0.6669468795620696,0.23729932862252412
36,12,20,3.0,14,0.15,2.6,0.6669497539307322,0.23729104549669452
40,20,15,3.0,14,0.22,2.6,0.6669546454813555,0.23740471518547868
40,12,20,3.0,10,0.22,1.8,0.6669551240178371,0.23732846152332485
40,12,15,3.0,10,0.15,1.8,0.6669567181979046,0.23727606180944746
40,16,20,3.0,14,0.18,1.8,0.6669746003287028,0.23735690855386685
40,20,10,3.0,14,0.15,2.6,0.6669748339978443,0.23733810113546666
40,16,20,3.0,14,0.15,2.2,0.666985250112752,0.23735118728884827
40,20,10,3.0,14,0.22,1.8,0.6669866877586599,0.23736543534092652
40,16,10,2.5,14,0.22,2.6,0.666990679135726,0.2373228394585499
40,12,25,2.5,14,0.22,2.6,0.6669937157045335,0.23738708601619832
36,12,20,3.0,14,0.22,1.8,0.6669992352350231,0.2373334343474066
40,16,10,3.0,10,0.22,2.2,0.6670116300931576,0.2373393904628876
40,16,15,3.0,10,0.22,2.2,0.6670219990918552,0.23737141117943472
36,12,20,3.0,14,0.15,2.2,0.667031554848908,0.2373218475222818
40,12,20,2.5,14,0.15,1.8,0.66703902066664,0.23732680207502932
36,12,20,3.0,14,0.18,1.8,0.6670398721649482,0.2373327179133302
40,16,15,2.5,14,0.18,2.2,0.6670412005097955,0.2373537663514285
40,16,15,2.5,14,0.22,1.8,0.6670429820603593,0.23736438670625243
40,12,20,3.0,10,0.18,2.2,0.6670467524866743,0.2373589730249249
40,12,15,2.5,10,0.18,2.6,0.6670558625690426,0.2373304407294657
40,16,10,2.5,14,0.18,2.6,0.6670563946315109,0.23734300858338822
40,16,10,2.5,14,0.22,2.2,0.6670577378435071,0.2373506965076516
40,20,10,3.0,14,0.18,1.8,0.6670759804487496,0.23738411547893828
40,20,15,3.0,14,0.22,2.2,0.6670792493628068,0.23745172045093804
40,20,10,3.0,14,0.15,2.2,0.6670815771334855,0.23737889692068376
40,20,15,3.0,14,0.18,2.6,0.6670824285706335,0.23743387245963934
40,12,15,2.0,14,0.22,2.6,0.6670837609664412,0.23734503214930086
40,16,15,2.5,14,0.15,2.6,0.6670946888254784,0.2373687768126025
36,12,10,3.0,14,0.15,2.6,0.667105547669152,0.23733649866963097
36,12,10,3.0,14,0.18,2.2,0.6671185822861967,0.23734498910042734
36,12,10,3.0,14,0.18,2.6,0.6671207840415796,0.23734764134531666
40,12,10,3.0,10,0.15,1.8,0.6671258431928707,0.23735666107480408
36,12,10,3.0,14,0.15,2.2,0.6671307519621787,0.23734632286443122
40,12,15,2.5,10,0.22,1.8,0.6671335120354094,0.2373673859966989
40,16,10,2.5,14,0.18,2.2,0.6671349185818211,0.23737564392491373
40,12,20,2.5,10,0.22,2.6,0.6671375872500379,0.23741113906993672
36,12,10,3.0,14,0.18,1.8,0.6671411860298359,0.23735327968650993
40,12,25,2.5,14,0.22,2.2,0.6671419294279206,0.23744676625620234
40,16,10,2.5,14,0.22,1.8,0.6671431929204392,0.23738544542491508
36,12,20,3.0,14,0.15,1.8,0.6671482521769774,0.23736624605068377
40,12,25,3.0,10,0.22,2.6,0.6671509081210731,0.23746914924249596
40,16,10,3.0,10,0.18,2.6,0.66715510519403,0.2373982283008677
40,16,25,3.0,14,0.22,2.6,0.6671603279499388,0.2375234685643435
40,16,20,3.0,14,0.15,1.8,0.6671704386025389,0.23742100984671846
36,12,10,3.0,14,0.22,1.8,0.6671742907064395,0.237374216925567
40,16,15,3.0,10,0.18,2.6,0.6671755226588385,0.2374277828069474
40,16,10,2.5,14,0.15,2.6,0.6671784759445495,0.23739040763936534
36,12,10,3.0,14,0.15,1.8,0.6671799872029319,0.23736676410321214
40,12,15,2.0,14,0.22,2.2,0.6671864776720297,0.23739001742131977
40,12,25,2.5,14,0.18,2.6,0.6671871926109548,0.23745129473470442
40,12,10,2.5,10,0.22,2.6,0.6671971185465745,0.23738193867316376
40,12,20,3.0,10,0.15,2.6,0.6671998217904584,0.2374175750692895
40,16,15,2.5,14,0.18,1.8,0.6672004959398845,0.2374175083566557
36,12,10,3.0,14,0.22,2.2,0.6672060676499786,0.23739093469943306
