MatchID,Date,BeyA,BeyB,ScoreA,ScoreB,PreA,PreB,PostA,PostB,arena,elo_arena_updated,MatchType,SeasonID,Tier,Matchday,KBaseA,KBaseB,KEffA,KEffB,ExpA,ExpB,ActA,ActB,FormEmaA,FormEmaB
M0037,2025-11-12,LeonCrest,GolemRock,2,4,986.91,996.63,972.62,1009.08,Xtreme,Xtreme,exhibition,,,,38.1942,36.5049,43.1922,37.6236,0.486,0.514,0.1551,0.8449,-0.0436,-0.0102
M0038,2025-11-12,CerberusFlame,TyrannoBeat,4,1,1000,997.18,1015.72,982.36,Xtreme,Xtreme,exhibition,,,,40.0,36.5049,40.0,37.7219,0.5041,0.4959,0.8971,0.1029,,-0.0111
M0039,2025-11-12,PerseusDark,KnightMail,0,5,1007.01,1000,983.19,1024.52,Xtreme,Xtreme,exhibition,,,,36.5049,40.0,38.8668,40.0,0.5101,0.4899,-0.1029,1.1029,0.0216,
M0040,2025-11-12,DranSword,BlackShell,1,4,1031.02,980.0,1012.14,1001.54,Xtreme,Xtreme,exhibition,,,,33.446,38.1942,40.1625,45.833,0.5729,0.4271,0.1029,0.8971,0.0669,-0.0667
M0041,2025-11-12,FoxBrush,PegasusBlast,4,0,1048.97,1000,1065.96,982.8,Xtreme,Xtreme,exhibition,,,,32.0629,40.0,39.5056,40.0,0.57,0.43,1.0,0.0,0.0774,
M0042,2025-11-12,DranBrave,ViperTail,0,4,998.76,996.54,980.05,1015.63,Xtreme,Xtreme,exhibition,,,,36.5049,36.5049,37.1912,37.9387,0.5032,0.4968,0.0,1.0,-0.0063,-0.0131
M0043,2025-11-12,HellsReaper,ScorpioSpear,2,4,986.2,986.2,971.21,1001.19,Xtreme,Xtreme,exhibition,,,,38.1942,38.1942,43.4633,43.4633,0.5,0.5,0.1551,0.8449,-0.046,-0.046
M0044,2025-11-12,WhaleWave,WhaleFlame,4,2,975.88,1000,993.88,984.82,Xtreme,Xtreme,exhibition,,,,38.1942,40.0,47.4051,40.0,0.4653,0.5347,0.8449,0.1551,-0.0804,
M0045,2025-11-12,DranBuster,SamuraiSaber,4,0,975.88,986.2,1000.29,963.83,Xtreme,Xtreme,exhibition,,,,38.1942,38.1942,47.4051,43.4633,0.4852,0.5148,1.0,0.0,-0.0804,-0.046
M0046,2025-11-12,WizardArrow,RhinoReaper,3,4,986.91,980.0,972.35,995.45,Xtreme,Xtreme,exhibition,,,,38.1942,38.1942,43.1922,45.833,0.5099,0.4901,0.1729,0.8271,-0.0436,-0.0667
